Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
Compound=>['Drug-C_GeneOff', 'Drug-C', 'DMSO_Drug-C_GeneOff']	Drug-C 1.4 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 2.11 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 3.16 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 4.74 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 7.11 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 10.67 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 16.0 nM DMSO_Drug-C_GeneOff 0.1 % 
0.0	-0.015524514	-0.022373281	-0.084493816	-0.045695603	-0.09447771	-0.09447771	-0.06823136
3.0	-0.028021902	-0.012900218	-0.055363595	-0.057859898	-0.10685533	-0.10685533	-0.062134087
6.0	-0.011261165	-0.0013047457	-0.055165768	-0.04834646	-0.09500295	-0.10515267	-0.049808674
9.0	-0.027667254	-0.01744315	-0.06818186	-0.043023884	-0.07376957	-0.10771805	-0.06555037
12.0	-0.0255588	-0.026542976	-0.08546454	-0.04368469	-0.07161021	-0.108805895	-0.06419176
15.0	-0.027146176	-0.01395525	-0.07908343	-0.04176964	-0.07082552	-0.10032734	-0.060060874
18.0	-0.022636011	-0.016563132	-0.06828983	-0.03956431	-0.06950855	-0.102434605	-0.063444555
21.0	-0.0105781555	-0.0039448887	-0.05101849	-0.027681112	-0.060240626	-0.07410908	-0.0537858
24.0	-0.007331416	0.0006506443	-0.04675615	-0.03510624	-0.05306977	-0.07081413	-0.050140664
27.0	-0.0065155625	0.0016002506	-0.05107768	-0.0297274	-0.046827078	-0.06361455	-0.039237738
30.0	-0.009135351	0.0047082305	-0.054835483	-0.03703648	-0.03807193	-0.074363425	-0.03521669
33.0	-0.0062758327	0.0029819906	-0.05060494	-0.02990657	-0.045357823	-0.061316833	-0.032712057
36.0	-0.008531526	-0.005619094	-0.060474157	-0.030825555	-0.04254353	-0.058520094	-0.030240998
39.0	-0.0069876164	-0.002023697	-0.05214812	-0.02764231	-0.033947587	-0.055570304	-0.023881197
42.0	-0.00032232702	-0.0008699894	-0.041291803	-0.02315414	-0.03296745	-0.04325983	-0.018488452
45.0	-0.00057703257	-0.0038788319	-0.03452617	-0.02202195	-0.029024005	-0.039037943	-0.016076058
48.0	-0.004193306	-0.009481072	-0.03840138	-0.029740036	-0.03413713	-0.039131492	-0.019391209
51.0	-0.006128229	-0.014496505	-0.043064877	-0.031020522	-0.035156846	-0.037559964	-0.02343136
54.0	-0.006452225	-0.021503985	-0.036809653	-0.030356944	-0.030206203	-0.040939406	-0.024419159
57.0	-0.005819857	-0.014960647	-0.033332445	-0.026597023	-0.024624765	-0.035558738	-0.022491634
60.0	-0.012091592	-0.012900412	-0.036045194	-0.024317905	-0.023021042	-0.03281028	-0.023089595
63.0	-0.010391735	-0.012188375	-0.031326614	-0.023097515	-0.02027458	-0.028378181	-0.020926699
66.0	-0.0067428276	-0.012645662	-0.026014887	-0.022353321	-0.020216167	-0.024479978	-0.023241207
69.0	-0.0056841597	-0.013093699	-0.022167113	-0.020494718	-0.016653359	-0.024177603	-0.023351159
72.0	-0.004959766	-0.013957098	-0.016994644	-0.018088818	-0.012470126	-0.021639802	-0.023822248
