Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
33.0	0.20047697	0.23073083	0.30306402	0.47213882	0.62623006	0.68060124	0.6577343
36.0	0.19434959	0.22309181	0.29272792	0.4825696	0.6478368	0.687206	0.6732818
39.0	0.1995365	0.22428992	0.28992665	0.49677324	0.66709936	0.70458996	0.6873836
42.0	0.18750943	0.21506223	0.27558786	0.49841684	0.6785308	0.7097518	0.68909854
45.0	0.18814416	0.2102776	0.26760975	0.49923033	0.68791914	0.71055555	0.7003522
48.0	0.18090737	0.203341	0.2609948	0.49566722	0.69435805	0.7117781	0.70013773
51.0	0.18562612	0.20189217	0.25877464	0.50248915	0.70671684	0.7243154	0.7054935
54.0	0.18827161	0.20319062	0.25804508	0.5035539	0.7083536	0.7288211	0.7114877
57.0	0.17285703	0.18792334	0.24437758	0.5032338	0.7077087	0.7296288	0.71356446
60.0	0.17394698	0.18843128	0.23651388	0.49901086	0.7206778	0.73270994	0.7163981
63.0	0.16623943	0.17774086	0.22069922	0.49331266	0.7208538	0.73927885	0.7175486
66.0	0.16522215	0.17667861	0.21734482	0.48981377	0.726696	0.7335513	0.71916854
69.0	0.16104986	0.17284328	0.21193154	0.48313415	0.7297129	0.74523926	0.7200644
72.0	0.16690394	0.17828953	0.21822363	0.4846004	0.74007833	0.74979943	0.7250552
Compound=>['Drug-B_GeneOff', 'Drug-B', 'DMSO_Drug-B_GeneOff']	Drug-B 45.7 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 137.2 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 411.5 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 1234.6 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 3703.7 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 11111.1 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 33333.3 nM DMSO_Drug-B_GeneOff 0.1 % 
0.0	0.08738949	0.07409844	0.048451483	0.048451483	0.048451483	0.048451483	0.07405874
3.0	0.088195935	0.07758337	0.054950416	0.054950416	0.054950416	0.08212955	0.12431607
6.0	0.084027916	0.092692256	0.062830806	0.062830806	0.08568349	0.1346815	0.15999395
9.0	0.10481365	0.11857947	0.08271453	0.078149736	0.14002879	0.1978051	0.21998593
12.0	0.12619874	0.14384279	0.13771668	0.12732258	0.2098544	0.27518126	0.30401516
15.0	0.12721635	0.13306224	0.15705346	0.15894327	0.24335955	0.32481652	0.34148112
18.0	0.12673405	0.13492766	0.15076862	0.17937148	0.26131266	0.34908664	0.38484776
21.0	0.1238176	0.13187784	0.13558733	0.19282034	0.2748433	0.37968102	0.39766598
24.0	0.13783346	0.1534137	0.13693821	0.22286925	0.2956645	0.4086911	0.42968267
27.0	0.14882189	0.16628586	0.14882189	0.23951577	0.30866683	0.43079397	0.44477874
30.0	0.1525268	0.1707903	0.1525268	0.25376385	0.32037893	0.4477817	0.4639023
33.0	0.17240903	0.18867587	0.16870111	0.2880517	0.35253745	0.48190796	0.50159395
36.0	0.1869564	0.20166206	0.18941839	0.3216291	0.37987572	0.51156455	0.52558374
39.0	0.19194858	0.2011649	0.19958107	0.34234908	0.4016297	0.5298489	0.5463017
42.0	0.1758776	0.17614022	0.17726114	0.3382346	0.39983112	0.5322182	0.5531635
45.0	0.17061783	0.17410149	0.17611489	0.3508027	0.41266802	0.54390943	0.56106824
48.0	0.1617837	0.16555588	0.16032201	0.34749347	0.4187008	0.55401695	0.5590967
51.0	0.16268347	0.16888005	0.15587917	0.35362875	0.43255785	0.5688477	0.57117337
54.0	0.1646488	0.1683885	0.15685686	0.35271496	0.44640198	0.5773736	0.5937502
57.0	0.17085008	0.1706383	0.16309959	0.36356422	0.4634431	0.5969721	0.5998174
60.0	0.16368489	0.16379285	0.16035637	0.36272988	0.4644451	0.6023418	0.6110775
63.0	0.15796421	0.1590397	0.15980911	0.3578593	0.47677058	0.6124984	0.61638135
66.0	0.1583622	0.15939453	0.15977097	0.36020514	0.4883629	0.6237108	0.627683
69.0	0.14628808	0.14693427	0.14814448	0.3511063	0.49043944	0.62253994	0.62805885
72.0	0.1521314	0.14809471	0.15163028	0.3604691	0.50594676	0.6352545	0.63056755
Compound=>['Drug-C_GeneOff', 'Drug-C', 'DMSO_Drug-C_GeneOff']	Drug-C 1.4 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 2.11 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 3.16 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 4.74 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 7.11 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 10.67 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 16.0 nM DMSO_Drug-C_GeneOff 0.1 % 
0.0	0.12461043	0.1119838	0.09447771	0.09447771	0.09447771	0.09447771	0.13457634
3.0	0.13931444	0.11331467	0.10685533	0.10685533	0.10685533	0.10685533	0.1411885
6.0	0.12767583	0.10515267	0.10515267	0.10515267	0.10515267	0.10515267	0.12433737
9.0	0.16107765	0.1455619	0.14161806	0.13211197	0.13211197	0.13211197	0.16346018
12.0	0.17701903	0.16315527	0.16227406	0.1469256	0.14636087	0.14636087	0.1819877
15.0	0.18155207	0.16626258	0.16569398	0.15621944	0.15543377	0.15709469	0.18808998
18.0	0.1767468	0.16846175	0.16454579	0.15481478	0.15481478	0.15912816	0.19290787
21.0	0.15900344	0.15817173	0.15566988	0.14691526	0.14426029	0.14426029	0.18151909
24.0	0.16499029	0.15424061	0.16227758	0.15427583	0.14832485	0.14832485	0.18670999
27.0	0.17209989	0.1569701	0.16771586	0.15067315	0.15067315	0.15067315	0.1872245
30.0	0.17604516	0.15783507	0.17260592	0.15783507	0.15783507	0.15923049	0.18969887
33.0	0.1721369	0.15745261	0.17058605	0.1556167	0.1556167	0.15995578	0.18607964
36.0	0.1688409	0.15567343	0.17154682	0.1549648	0.1549648	0.15725876	0.17949836
39.0	0.15312402	0.14050955	0.15271987	0.14050955	0.14050955	0.14317	0.15984207
42.0	0.13621871	0.12959647	0.1386843	0.12959647	0.12959647	0.13169995	0.14300613
45.0	0.13199955	0.123749316	0.13155258	0.123749316	0.123749316	0.123749316	0.13445029
48.0	0.12624234	0.119681716	0.12356205	0.119681716	0.119681716	0.11998621	0.12732187
51.0	0.12300006	0.11778456	0.1221116	0.11778456	0.11778456	0.1180673	0.12102395
54.0	0.11070546	0.10716033	0.10913065	0.10716033	0.10716033	0.10747309	0.11019191
57.0	0.097041786	0.09464598	0.09634868	0.09464598	0.09464598	0.09474657	0.09603262
60.0	0.0902812	0.086013734	0.09027243	0.08639769	0.086013734	0.088096805	0.08932168
63.0	0.078969084	0.07522577	0.07874187	0.07578558	0.07522577	0.07604437	0.07664524
66.0	0.06817221	0.06597996	0.06822666	0.06609687	0.06597996	0.06665503	0.06656657
69.0	0.06064739	0.05938833	0.060849693	0.059299905	0.059293568	0.060075752	0.059365
72.0	0.052378837	0.05136259	0.051490057	0.051206052	0.051206052	0.05157868	0.051206052
Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
0.0	0.022468112	0.0071205497	0.0071205497	0.019721558	0.11004627	0.1122341	0.24244101
3.0	0.057828806	0.021756113	0.021756113	0.09109054	0.21449654	0.19106716	0.27801743
6.0	0.06474882	0.03030771	0.03030771	0.15014972	0.28917262	0.25963908	0.31590006
9.0	0.068866685	0.047459006	0.047459006	0.20443593	0.35817465	0.3138753	0.3721097
12.0	0.029460728	0.029460728	0.029460728	0.22179319	0.3779985	0.33311048	0.3854761
15.0	0.07593788	0.070482016	0.070482016	0.30570117	0.4544701	0.3984469	0.44266826
18.0	0.04933083	0.04933083	0.05910661	0.3341142	0.47757298	0.42470613	0.45532933
21.0	0.04886824	0.04886824	0.06067755	0.3603383	0.50082123	0.4394092	0.45269635
24.0	0.056682065	0.049828768	0.0929869	0.41013205	0.5272013	0.4675649	0.47732732
27.0	0.053748813	0.046055377	0.11916553	0.4415854	0.5441732	0.4914558	0.5086093
30.0	0.059636362	0.056331016	0.14470853	0.48059356	0.5665911	0.5117741	0.521405
33.0	0.020217774	0.018476188	0.13032623	0.4879541	0.5607082	0.5101868	0.52647114
36.0	0.0	0.0	0.11000013	0.4941128	0.5652196	0.51340055	0.51672053
39.0	0.0015868206	0.0007864833	0.12041499	0.5193136	0.5753045	0.53278327	0.5346143
42.0	0.0	0.0	0.121126115	0.54498315	0.5949904	0.54747975	0.5526564
45.0	0.0	0.0	0.11983931	0.5612916	0.607914	0.5486038	0.5504124
48.0	0.0	0.0	0.13336688	0.5738051	0.62697995	0.55648273	0.56203353
51.0	0.0021778345	0.0	0.142699	0.59217435	0.63495886	0.5733812	0.56192684
54.0	0.0009998083	0.0	0.15039831	0.60249543	0.64082056	0.5805652	0.5678958
57.0	0.0023069978	0.0	0.16051853	0.61452544	0.6590237	0.5959654	0.5886243
60.0	0.0025921464	0.0	0.16299802	0.62653863	0.66313136	0.6039423	0.58780456
63.0	0.008035421	0.0	0.16592228	0.6418526	0.66881657	0.60723597	0.5970273
66.0	0.024796665	0.010855556	0.17970258	0.6528982	0.6839136	0.62672496	0.6049335
69.0	0.0393582	0.035257995	0.18991834	0.6636994	0.6857735	0.6291417	0.61661756
72.0	0.038064897	0.04881203	0.2012195	0.6727617	0.69216883	0.62610877	0.62205625
Compound=>['Drug-B_GeneOff', 'Drug-B', 'DMSO_Drug-B_GeneOff']	Drug-B 45.7 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 137.2 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 411.5 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 1234.6 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 3703.7 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 11111.1 nM DMSO_Drug-B_GeneOff 0.1 % 	Drug-B 33333.3 nM DMSO_Drug-B_GeneOff 0.1 % 
0.0	0.1468688	0.13083082	0.10052804	0.093069434	0.10148486	0.12789232	0.11939246
3.0	0.10587511	0.07807546	0.072833836	0.072833836	0.08068163	0.15015402	0.1472165
6.0	0.12837204	0.11473936	0.09676277	0.0837149	0.14111042	0.21312982	0.21017733
9.0	0.1252006	0.119520746	0.11530892	0.10827485	0.17840451	0.24858177	0.25427085
12.0	0.102221735	0.1135424	0.12439684	0.11670384	0.20111337	0.27962768	0.27671355
15.0	0.11202617	0.10981619	0.14262256	0.14157316	0.2285221	0.31749746	0.3168287
18.0	0.10483995	0.10329858	0.12882888	0.14552061	0.22922654	0.33824667	0.337866
21.0	0.09485027	0.09839386	0.11239415	0.14998959	0.24091862	0.3553218	0.3537032
24.0	0.086856864	0.085554376	0.08093567	0.17128244	0.24483149	0.37453508	0.36813334
27.0	0.08927794	0.078407824	0.078407824	0.20078856	0.25311726	0.38289043	0.37982398
30.0	0.077186406	0.077186406	0.077186406	0.22500953	0.25419235	0.3906891	0.3955135
33.0	0.08057243	0.08383809	0.08057243	0.27905184	0.27797017	0.42167845	0.4162589
36.0	0.08213174	0.07872802	0.07872802	0.30521986	0.28893214	0.4377487	0.43697783
39.0	0.07615757	0.07881778	0.07615757	0.33391362	0.30433303	0.45472324	0.445883
42.0	0.077441275	0.077441275	0.077441275	0.3640603	0.3145372	0.4771123	0.46748778
45.0	0.08148724	0.08148724	0.08148724	0.3879349	0.33650443	0.4975928	0.48281407
48.0	0.09283394	0.09575058	0.10111705	0.4240326	0.36148104	0.5193778	0.50873536
51.0	0.08685863	0.08945667	0.10107536	0.44143954	0.37793815	0.5332004	0.5257177
54.0	0.09905607	0.10849804	0.10079376	0.4614256	0.3974383	0.5458499	0.5377293
57.0	0.09536265	0.10612242	0.0980131	0.47696844	0.41138607	0.5627658	0.55097103
60.0	0.10563506	0.115371056	0.10170349	0.49555248	0.43190122	0.5757669	0.5720679
63.0	0.11647072	0.12699029	0.10563253	0.508832	0.4400525	0.59179974	0.5824162
66.0	0.09488598	0.10968514	0.08800876	0.51036435	0.44026664	0.5964897	0.5837623
69.0	0.1026221	0.12085915	0.089871585	0.5130484	0.45234507	0.6031989	0.5868266
72.0	0.11457002	0.13079695	0.09766642	0.5353303	0.46970746	0.61034554	0.6006324
Compound=>['Drug-C_GeneOff', 'Drug-C', 'DMSO_Drug-C_GeneOff']	Drug-C 1.4 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 2.11 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 3.16 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 4.74 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 7.11 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 10.67 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 16.0 nM DMSO_Drug-C_GeneOff 0.1 % 
0.0	0.11962657	0.06371671	0.06371671	0.06371671	0.06371671	0.06371671	0.06371671
3.0	0.12602234	0.07948495	0.07019001	0.07019001	0.07333316	0.07019001	0.07019001
6.0	0.111627996	0.07814296	0.061897397	0.061897397	0.066185206	0.061897397	0.061897397
9.0	0.10893552	0.073853925	0.06547326	0.06547326	0.071221106	0.06547326	0.07133167
12.0	0.11145618	0.07378421	0.06879026	0.06879026	0.07377011	0.06879026	0.10453644
15.0	0.103533976	0.07448435	0.07448435	0.07448435	0.075020276	0.07448435	0.1455731
18.0	0.11586644	0.07676077	0.07676077	0.07676077	0.085864276	0.07676077	0.1883036
21.0	0.096468724	0.06940448	0.06940448	0.06940448	0.06940448	0.06940448	0.18683845
24.0	0.081007354	0.06354362	0.06354362	0.06354362	0.06354362	0.06354362	0.18205124
27.0	0.07923882	0.06397909	0.06397909	0.06397909	0.06397909	0.06397909	0.18536031
30.0	0.08997632	0.06675416	0.06675416	0.06675416	0.06675416	0.06675416	0.20383829
33.0	0.08669954	0.06434488	0.06434488	0.06434488	0.06434488	0.06434488	0.21572414
36.0	0.07719017	0.06410414	0.06410414	0.06410414	0.06410414	0.06410414	0.21879005
39.0	0.074862145	0.061839342	0.061839342	0.061839342	0.061839342	0.061839342	0.22568895
42.0	0.06998027	0.06557202	0.06557202	0.06557202	0.06557202	0.06557202	0.22877094
45.0	0.07729265	0.06878936	0.06878936	0.06878936	0.06878936	0.06878936	0.2341382
48.0	0.07694099	0.07156664	0.07156664	0.07156664	0.07156664	0.07156664	0.23678216
51.0	0.069630474	0.066390455	0.066390455	0.066390455	0.066390455	0.066390455	0.23211834
54.0	0.064858966	0.06446618	0.06446618	0.06446618	0.06446618	0.06446618	0.22214004
57.0	0.064196765	0.06294292	0.06294292	0.06294292	0.06294292	0.06294292	0.22130793
60.0	0.064205095	0.05811709	0.05811709	0.05811709	0.05811709	0.05811709	0.20898719
63.0	0.07268047	0.06241834	0.06241834	0.06241834	0.06241834	0.06241834	0.206123
66.0	0.07569129	0.06278366	0.06278366	0.06278366	0.06278366	0.06278366	0.19108188
69.0	0.059526812	0.050890803	0.050890803	0.050890803	0.050890803	0.050890803	0.16555968
72.0	0.063781776	0.051858127	0.051858127	0.051858127	0.051858127	0.051858127	0.15895106
